geneSymbol	diseaseName
A1BG	Schizophrenia
A2M	Alzheimer's Disease
A2M	Malignant tumor of colon
A2M	Presenile dementia
A2M	Mental Depression
A2M	Depressive disorder
A2M	Hepatolenticular Degeneration
A2M	Kidney Failure, Acute
A2M	Liver Cirrhosis
A2M	Liver Cirrhosis, Experimental
A2M	Hepatocellular Adenoma
A2M	Fibrosis, Liver
A2M	Malignant neoplasm of lung
A2M	Familial Alzheimer Disease (FAD)
A2M	Alzheimer Disease, Late Onset
A2M	Acute Confusional Senile Dementia
A2M	Alzheimer's Disease, Focal Onset
A2M	Alzheimer Disease, Early Onset
A2M	Hepatic Form of Wilson Disease
A2M	Acute Kidney Insufficiency
A2M	Liver carcinoma
A2M	Acute kidney injury
A2M	alpha-2-Macroglobulin Deficiency
NAT1	Alcoholic Intoxication, Chronic
NAT1	Malignant neoplasm of urinary bladder
NAT1	Dermatitis, Occupational
NAT1	Industrial Dermatosis
NAT1	Malignant neoplasm of prostate
NAT2	Malignant neoplasm of urinary bladder
NAT2	Malignant neoplasm of breast
NAT2	Coronary Arteriosclerosis
NAT2	Diastematomyelia
NAT2	Hepatitis, Toxic
NAT2	Childhood Acute Lymphoblastic Leukemia
NAT2	Leukemia, Lymphocytic, Acute, L2
NAT2	Leukopenia
NAT2	Neurenteric Cyst
NAT2	Dermatitis, Occupational
NAT2	Tethered Cord Syndrome
NAT2	Industrial Dermatosis
NAT2	Iniencephaly
NAT2	Craniorachischisis
NAT2	Exencephaly
NAT2	Spinal Cord Myelodysplasia
NAT2	Malignant neoplasm of liver
NAT2	Malignant mesothelioma
NAT2	Malignant neoplasm of prostate
NAT2	Breast Carcinoma
NAT2	Acrania
NAT2	Drug-Induced Liver Disease
NAT2	Hepatitis, Drug-Induced
NAT2	Coronary Artery Disease
NAT2	Precursor Cell Lymphoblastic Leukemia Lymphoma
NAT2	Drug-Induced Acute Liver Injury
NAT2	Chemical and Drug Induced Liver Injury
NAT2	Chemically-Induced Liver Toxicity
SERPINA3	Lipoidosis
SERPINA3	Nonorganic psychosis
SERPINA3	Malignant neoplasm of prostate
AADAC	Liver Cirrhosis, Experimental
AANAT	Depression, Bipolar
AANAT	Mental Depression
AANAT	Depressive disorder
AANAT	Delayed Sleep Phase Syndrome
AANAT	Advanced Sleep Phase Syndrome
AANAT	Non-24 Hour Sleep-Wake Disorder
AANAT	Shift-Work Sleep Disorder
